,Position X (m),Position Y (m),Position Z (m)
0,-3140000000.0,150000000000.0,0.0
1,-28558880000.0,150000000000.0,0.0
2,-53182328845.18335,145822491673.63565,-1844.2741318702883
3,-76395660196.37448,137778674530.43262,-5452.504855575557
4,-97671719927.32442,126241083649.23991,-10774.754244835547
5,-116566242313.40324,111625382392.95879,-17798.726329109082
6,-132711548154.58957,94377004759.1315,-26553.285112864825
7,-145809978322.01566,74961846896.73518,-37110.689292934425
8,-155627956597.00995,53860150428.32112,-49588.773529284095
9,-161991227568.95972,31562774969.577023,-64153.8468615629
10,-164781592101.38193,8569148534.409416,-81024.80227034181
11,-163935330372.70724,-14613730847.025078,-100478.41292247537
12,-159443428523.06198,-37471813995.46181,-122854.15396418565
13,-151353681127.0336,-59484597915.83376,-148552.51856261378
14,-139774701937.1494,-80126392498.75807,-178013.949490766
15,-124881812584.6847,-98868928053.88086,-211666.98779575882
16,-106924662015.319,-115186098524.25748,-249860.0236906421
17,-86236220006.59952,-128561785528.51695,-292840.64508693095
18,-63242440095.395096,-138501848042.14734,-340872.61876889656
19,-38471357135.90617,-144551419428.06726,-394500.3041664535
20,-12559648655.811596,-146318502350.48575,-454790.4405612317
21,13746209011.93705,-143504309780.9071,-523468.4177107587
22,39597940736.240974,-135939644087.54996,-603106.4053086091
23,64066854513.842834,-123624664616.01935,-697440.7599685094
24,86182272369.82353,-106766740048.19455,-811132.6930885185
25,104988375165.19893,-85808297405.20145,-946526.1697067708
26,119616431415.29036,-61434917563.36982,-1098914.3350544325
27,129363547423.275,-34555062473.164444,-1260456.8260628849
28,133763946218.50931,-6247905720.399097,-1425923.405198599
29,132637333388.11977,22316003206.74302,-1591246.8604603587
30,126103016659.27036,49968139236.73858,-1748978.2518815894
31,114557153286.82451,75631919358.17972,-1892370.3370428656
32,98620205933.87126,98393409690.39145,-2018607.1728168293
33,79068028230.30655,117543846918.43765,-2127009.0419368157
34,56760877958.6069,132593296371.36624,-2217995.0170470756
35,32581246840.16959,143261065974.6912,-2292694.8282521227
36,7386209970.84396,149451240237.9004,-2352730.850823636
37,-18024645866.164787,151221390344.614,-2400056.1634859685
38,-42927637450.72699,148750545898.43597,-2436827.1271892223
39,-66682961653.81976,142310168577.37433,-2465306.3507633237
40,-88735566527.92563,132239897994.88591,-2487793.0174036496
41,-108611756325.0993,118928492408.99669,-2506576.2713989425
42,-125913683056.31201,102799613073.16849,-2523906.739994458
43,-140313229058.71088,84301742999.88753,-2541981.4922254095
44,-151546269378.1953,63901427654.200455,-2562938.453031616
45,-159407934594.30222,42079053187.02593,-2588857.1173432986
46,-163749253331.96832,19326456087.022186,-2621762.6906823614
47,-164475407456.33295,-3854261568.527195,-2663627.0849511
48,-161545750398.64587,-26951281338.22425,-2716351.6515302346
49,-154975692003.1404,-49443535022.857025,-2781726.031710468
50,-144840515879.42053,-70801670221.69196,-2861400.586699484
51,-131281140844.59767,-90490173390.997,-2956912.5954615655
52,-114511735459.07793,-107971432319.12521,-3069764.5101030846
53,-94828906865.3023,-122712677256.739,-3201505.9859818504
54,-72621865143.1099,-134196899589.37619,-3353777.439614401
55,-48382463786.64531,-141938944025.96982,-3528279.6112366007
56,-22713302817.08039,-145507889745.44073,-3726476.5211455855
57,3668824725.3473473,-144556399284.65833,-3948780.32857759
58,29937813685.137276,-138856691184.3113,-4193785.645229006
59,55175768019.050865,-128340982752.5557,-4458542.8377506845
60,78407212113.20006,-113141656581.46259,-4739247.646246732
61,98652137220.28429,-93623488203.41953,-5031535.057961507
62,114995986046.10114,-70398181710.33752,-5330578.771581608
63,126668928817.3742,-44311879315.81238,-5631318.517366108
64,133121200944.46524,-16400599449.30909,-5928927.929642484
65,134078791123.8114,12183579305.357471,-6219447.55509227
66,129566719950.82262,40264042657.23665,-6499601.2442595335
67,119895242139.62274,66731785852.66229,-6763710.375309761
68,105614094284.24696,90621535246.74533,-7006021.165061258
69,87447123958.26758,111161281742.17633,-7224097.0863685515
70,66221748246.03978,127792848565.78944,-7417558.89407007
71,42804947734.81984,140167911136.37103,-7587221.202931876
