,Position X (m),Position Y (m),Position Z (m)
0,-237000000000.0,-151000000000.0,6430000000.0
1,-225042240000.0,-167441920000.0,6430000000.0
2,-212074157463.92615,-183132255946.80176,6401133113.894673
3,-198150898916.0175,-197997931150.99207,6343436300.810504
4,-183334365006.88177,-211971205274.2217,6257143712.457759
5,-167692519687.5569,-224990467337.24628,6142684588.07997
6,-151298584395.81403,-237000910633.82895,6000677410.424757
7,-134230142113.98097,-247955070467.4826,5831920535.507105
8,-116568179486.9003,-257813211765.2375,5637379650.414719
9,-98396096861.83961,-266543560340.97052,5418172530.817819
10,-79798716050.20969,-274122378340.0907,5175551657.757328
11,-60861313905.62891,-280533890707.0372,4910885306.2662325
12,-41668706709.47482,-285770074969.7534,4625637734.644259
13,-22304406204.36795,-289830330936.13995,4321349084.968693
14,-2849863319.309124,-292721049869.4477,3999615557.344247
15,16616189421.61567,-294455104279.319,3662070346.687713
16,36018290776.136505,-295051279772.36035,3310365738.8197346
17,55284697442.79014,-294533669774.1016,2946156671.807249
18,74347726875.83058,-292931052318.78125,2571085976.353406
19,93144001797.5156,-290276265951.9139,2186771425.5149803
20,111614604288.34955,-286605599118.7524,1794794645.311774
21,129705148956.06116,-281958204647.301,1396691866.4070945
22,147365785577.4645,-276375548235.3339,993946443.099098
23,164551141882.9582,-269900897295.45197,587983024.9662201
24,181220216945.9826,-262578854180.36337,180163239.03358573
25,197336235117.37085,-254454935778.37238,-228217273.44575673
26,212866469725.4576,-245575199842.81448,-635930625.1918262
27,227782044830.0323,-235985917203.765,-1041817418.1810069
28,242057722207.05914,-225733288024.24963,-1444786613.5315251
29,255671679705.62436,-214863199459.22037,-1843814697.2833848
30,268605286237.05417,-203421021655.2228,-2237944274.2683597
31,280842877704.025,-191451438894.47327,-2626282197.5462737
32,292371537218.22754,-178998312553.79028,-3007997336.7086434
33,303180882171.7369,-166104572478.37738,-3382318083.5939116
34,313262859989.1254,-152812133355.44885,-3748529685.7791443
35,322611553924.87006,-139161832850.79218,-4105971478.9747477
36,331222999867.6168,-125193388581.74277,-4454034072.801006
37,339095014720.3135,-110945371254.81277,-4792156534.845994
38,346227036601.4075,-96455191541.87933,-5119823609.464726
39,352619976859.63654,-81759098512.0639,-5436563000.342771
40,358276083704.5692,-66892187675.95044,-5741942739.259546
41,363198817114.2743,-51888416928.23541,-6035568657.793255
