,Position X (m),Position Y (m),Position Z (m)
0,-46800000000.0,-44400000000.0,2840000000.0
1,-24361920000.0,-77292480000.0,-1644160000.0
2,2611672152.040642,-95795656737.96509,-5822228835.908001
3,29292783269.102867,-103566197983.7815,-9347986486.131195
4,53670673766.86812,-103193176090.53752,-12138685354.27446
5,74721715439.99228,-96423404354.10593,-14176910710.359978
6,91772915217.36807,-84492027714.98557,-15456209371.123857
7,104242603882.44737,-68342624547.94772,-15963860615.401133
8,111504219587.42677,-48778834058.653755,-15673900998.136019
9,112782681333.91913,-26597816599.170437,-14542861632.433092
10,107040380438.96242,-2761379685.673931,-12506478135.847588
11,92826556550.01578,21293056452.49238,-9480233531.696941
12,68113830368.0946,42938031680.738594,-5381651311.420446
13,30550175100.61537,56476797288.600006,-267026526.1806345
14,-18448176320.803032,48865839240.51529,4947339502.738406
15,-54782758052.58891,7723661717.390984,6767254272.761654
16,-59763010044.93097,-37843709240.03838,4714643619.307022
17,-48113495155.94176,-72886178197.86316,1350322179.024507
18,-29302326412.00842,-97085135201.5943,-2214992132.2593966
19,-7705013449.592377,-112060172783.46849,-5569874722.715719
20,14431036812.668194,-119222360965.59605,-8536397032.840595
21,35748149625.97699,-119608817964.16626,-11017716795.449566
22,55264746090.59088,-113967568363.74915,-12943712191.249025
23,72125959551.23746,-102848584444.07944,-14247459033.65933
24,85446673680.85147,-86680025511.86475,-14851517517.852432
25,94169364447.63727,-65846688322.21258,-14656057288.817753
26,96880803321.0769,-40810292441.74574,-13524657018.580475
27,91518094991.29877,-12373911733.580082,-11265654029.87662
28,74876084370.01942,17584194507.692505,-7617632186.36207
29,42141755521.66388,43753331831.91439,-2331637791.4377995
30,-9175455656.719002,50589833740.6995,3983220678.749585
31,-53838672828.69725,20925219422.503323,7425430620.556568
32,-71542532625.55357,-19226970397.958294,7152736373.310049
33,-72058869895.47917,-54774664680.3174,5162810810.557526
34,-62986459852.882614,-83046661206.22943,2486316849.129355
35,-48397996321.2953,-104058587607.58528,-407810814.9927306
36,-30628473761.925556,-118245562413.55875,-3275294645.129854
37,-11188542151.252186,-126004359295.77206,-5964743828.600886
38,8802607461.005363,-127607690434.40973,-8362772295.773273
39,28383244504.67974,-123197521999.27284,-10366618671.960487
40,46587352982.75806,-112794228364.47922,-11866014917.046555
41,62285258108.28852,-96312705677.88644,-12725730099.887575
42,73960054745.90446,-73603408034.0892,-12762145608.158112
43,79308617422.28236,-44594475551.65375,-11705424164.765217
44,74440519880.82312,-9841434419.649445,-9138798906.146187
45,52457117641.363434,27160652411.08206,-4468001849.189202
46,5416525879.25753,51117875603.83888,2341117726.696677
47,-45448737609.69786,37962873460.98233,7451130319.148134
48,-75227839232.34459,7212228237.245308,9113851628.403614
49,-88168234797.97806,-25169119521.764988,8740001427.491013
50,-89947660984.34753,-54381669786.3087,7261363239.157788
51,-84108246134.85086,-79004457274.41704,5168509278.775107
52,-72855361989.1303,-98559079506.58937,2743445718.2178316
53,-57674884822.61275,-112819122104.41394,170646779.67151308
54,-39673697724.74571,-121584723609.85738,-2410663892.114093
55,-19782016496.63794,-124590592234.93263,-4877867795.855417
56,1096400768.1916924,-121451553154.17497,-7104482561.636423
57,21926178102.51478,-111613458004.23181,-8939095434.845867
58,41301404526.98877,-94302362619.40031,-10174872215.00724
59,56977529363.42823,-68507962547.58379,-10494602348.527866
60,64801058648.0793,-33248371309.524635,-9362496910.135193
61,56277881577.479195,10399759351.191048,-5860751897.008468
62,18232454015.28395,48501161334.428505,726863034.8249464
