,Position X (m),Position Y (m),Position Z (m)
0,4330000000000.0,-1300000000000.0,-72500000000.0
1,4331494720000.0,-1295515840000.0,-72500000000.0
2,4332984785024.826,-1291030288496.5386,-72499922118.47807
3,4334470193901.8877,-1286543350418.2488,-72499766362.57141
4,4335950945464.2607,-1282055030694.2065,-72499532739.50307
5,4337427038550.6978,-1277565334253.9304,-72499221256.5822
6,4338898472005.6387,-1273074266027.3796,-72498831921.20421
7,4340365244679.222,-1268581830944.9553,-72498364740.85094
8,4341827355427.2983,-1264088033937.5015,-72497819723.09077
9,4343284803111.4414,-1259592879936.3086,-72497196875.57875
10,4344737586598.962,-1255096373873.1191,-72496496206.05666
11,4346185704762.918,-1250598520680.137,-72495717722.35316
12,4347629156482.1123,-1246099325290.036,-72494861432.38419
13,4349067940641.0757,-1241598792635.964,-72493927344.15346
14,4350502056130.0356,-1237096927651.5288,-72492915465.7532
15,4351931501844.9165,-1232593735270.7727,-72491825805.36435
16,4353356276687.3677,-1228089220428.1643,-72490658371.25627
17,4354776379564.807,-1223583388058.6055,-72489413171.78615
18,4356191809390.4443,-1219076243097.4512,-72488090215.39859
19,4357602565083.282,-1214567790480.5193,-72486689510.62602
20,4359008645568.116,-1210058035144.095,-72485211066.08894
21,4360410049775.5347,-1205546982024.933,-72483654890.4961
22,4361806776641.922,-1201034636060.2605,-72482020992.6447
23,4363198825109.4585,-1196521002187.7776,-72480309381.42058
24,4364586194126.127,-1192006085345.6606,-72478520065.7983
25,4365968882645.7163,-1187489890472.564,-72476653054.84131
26,4367346889627.8267,-1182972422507.624,-72474708357.70201
27,4368720214037.876,-1178453686390.465,-72472685983.62177
28,4370088854847.106,-1173933687061.2063,-72470585941.9309
29,4371452811032.5864,-1169412429460.4734,-72468408242.04866
30,4372812081577.2085,-1164889918529.4124,-72466152893.48338
31,4374166665469.657,-1160366159209.6992,-72463819905.833
32,4375516561704.359,-1155841156443.5269,-72461409288.78584
33,4376861769281.468,-1151314915173.5737,-72458921052.12038
34,4378202287206.8945,-1146787440342.997,-72456355205.70428
