,Position X (m),Position Y (m),Position Z (m)
0,2830000000000.0,859000000000.0,-31800000000.0
1,2828505280000.0,864978880000.0,-31800000000.0
2,2826999710016.582,870954435186.6967,-31799878130.384857
3,2825483299182.4277,876926643651.2181,-31799634429.647114
4,2823956056681.2256,882895483515.9108,-31799268936.885178
5,2822417991747.5225,888860932934.5118,-31798781691.802307
6,2820869113666.5835,894822970092.3268,-31798172734.705338
7,2819309431774.256,900781573206.4092,-31797442106.503227
8,2817738955456.8384,906736720525.7443,-31796589848.705387
9,2816157694150.962,912688390331.435,-31795616003.419815
10,2814565657343.484,918636560936.8896,-31794520613.351154
11,2812962854571.401,924581210688.0006,-31793303721.799095
12,2811349295421.766,930522317963.2986,-31791965372.658066
13,2809724989531.5576,936459861174.0591,-31790505610.419235
14,2808089946587.426,942393818764.3936,-31788924480.173164
15,2806444176325.4043,948324169211.4183,-31787222027.608547
16,2804787688530.734,954250891025.4985,-31785398299.00754
17,2803120493037.8,960173962750.508,-31783453341.23883
18,2801442599730.1226,966093362964.0322,-31781387201.754307
19,2799754018540.2734,972009070277.5242,-31779199928.588985
20,2798054759449.759,977921063336.4619,-31776891570.36063
21,2796344832488.8936,983829320820.5089,-31774462176.26909
22,2794624247736.6724,989733821443.6774,-31771911796.095478
23,2792893015320.6377,995634543954.4967,-31769240480.20126
24,2791151145416.7505,1001531467136.1853,-31766448279.52721
25,2789398648249.2637,1007424569806.8275,-31763535245.592278
26,2787635534090.6035,1013313830819.5547,-31760501430.49231
27,2785861813261.262,1019199229062.7316,-31757346886.8986
28,2784077496129.7056,1025080743460.1453,-31754071668.056267
29,2782282593112.305,1030958352971.1913,-31750675827.78274
30,2780477114673.292,1036832036591.0356,-31747159420.467392
31,2778661071324.678,1042701773350.7189,-31743522501.07413
32,2776834473626.024,1048567542317.2041,-31739765125.146343
33,2774997332184.1353,1054429322593.524,-31735887348.804123
34,2773149657652.921,1060287093319.0167,-31731889228.73833
35,2771291460733.3286,1066140833669.5494,-31727770822.206783
36,2769422752173.2935,1071990522857.7108,-31723532187.032185
37,2767543542767.667,1077836140132.98,-31719173381.601185
38,2765653843358.1294,1083677664781.8871,-31714694464.863914
39,2763753664833.0938,1089515076128.1709,-31710095496.33371
40,2761843018127.6064,1095348353532.9357,-31705376536.08689
41,2759921914223.247,1101177476394.8079,-31700537644.762558
42,2757990364148.028,1107002424150.0933,-31695578883.562325
43,2756048378976.2944,1112823176272.934,-31690500314.249985
44,2754095969828.63,1118639712275.4675,-31685301999.151016
45,2752133147871.765,1124452011707.9883,-31679984001.15183
46,2750159924318.503,1130260054159.114,-31674546383.698826
47,2748176310427.6675,1136063819255.95,-31668989210.798004
48,2746182317504.046,1141863286664.2214,-31663312547.016743
49,2744177956898.3184,1147658436088.402,-31657516457.483593
50,2742163240006.959,1153449247271.7783,-31651601007.891
51,2740138178271.9985,1159235699996.515,-31645566264.49766
52,2738102783180.835,1165017774083.8188,-31639412294.125954
53,2736057066266.1587,1170795449394.136,-31633139164.158417
54,2734001039105.9146,1176568705827.322,-31626746942.535847
55,2731934713323.2524,1182337523322.7832,-31620235697.756634
56,2729858100586.463,1188101881859.6035,-31613605498.876682
57,2727771212608.899,1193861761456.6611,-31606856415.50957
58,2725674061148.8896,1199617142172.7427,-31599988517.826782
59,2723566658009.648,1205368004106.6543,-31593001876.557926
60,2721449015039.1753,1211114327397.3318,-31585896562.990932
61,2719321144130.166,1216856092223.953,-31578672648.97211
62,2717183057219.9136,1222593278806.0505,-31571330206.906075
63,2715034766290.2324,1228325867403.6255,-31563869309.756123
64,2712876283367.349,1234053838317.233,-31556290031.04662
65,2710707620521.7896,1239777171888.112,-31548592444.86093
66,2708528789868.3604,1245495848498.325,-31540776625.83933
67,2706339803566.1353,1251209848570.838,-31532842649.180473
68,2704140673818.3545,1256919152569.5203,-31524790590.64588
69,2701931412872.188,1262623740999.1287,-31516620526.563183
70,2699712033018.501,1268323594405.3804,-31508332533.824486
71,2697482546591.723,1274018693375.0798,-31499926689.883015
72,2695242965969.76,1279709018536.2373,-31491403072.75083
73,2692993303573.9077,1285394550558.1643,-31482761760.9977
74,2690733571868.7573,1291075270151.5562,-31474002833.75061
75,2688463783362.09,1296751158068.5654,-31465126370.693615
76,2686183950604.763,1302422195102.8713,-31456132452.067772
77,2683894086190.597,1308088362089.7468,-31447021158.671032
78,2681594202756.2583,1313749639906.125,-31437792571.857914
79,2679284312981.1562,1319406009470.6602,-31428446773.53989
80,2676964429587.291,1325057451743.7505,-31418983846.188313
81,2674634565339.085,1330703947727.6018,-31409403872.832592
82,2672294733043.2627,1336345478466.3044,-31399706937.058376
83,2669944945548.7373,1341982025045.9048,-31389893123.006405
84,2667585215746.513,1347613568594.4824,-31379962515.37129
85,2665215556569.6187,1353240090282.2085,-31369915199.40158
86,2662835980992.996,1358861571321.3281,-31359751260.902912
87,2660446502033.2554,1364477992966.0981,-31349470786.241226
88,2658047132748.3965,1370089336512.7935,-31339073862.341686
89,2655637886237.611,1375695583299.7788,-31328560576.68522
90,2653218775641.1343,1381296714707.5867,-31317931017.305492
91,2650789814140.1084,1386892712158.978,-31307185272.78676
92,2648351014956.4355,1392483557118.9907,-31296323432.262184
93,2645902391352.626,1398069231094.9797,-31285345585.41228
94,2643443956631.6416,1403649715636.6594,-31274251822.46307
95,2640975724136.755,1409224992336.1367,-31263042234.185352
96,2638497707251.345,1414795042827.9033,-31251716911.896473
97,2636009919398.692,1420359848788.8723,-31240275947.457584
98,2633512374041.797,1425919391938.4185,-31228719433.271557
99,2631005084683.201,1431473654038.4128,-31217047462.28148
100,2628488064864.7974,1437022616893.2605,-31205260127.96901
101,2625961328167.648,1442566262349.9482,-31193357524.352264
102,2623424888211.8267,1448104572298.1057,-31181339745.98331
103,2620878758656.2974,1453637528670.061,-31169206887.946384
104,2618322953198.777,1459165113440.8313,-31156959045.85903
105,2615757485575.4775,1464687308628.0447,-31144596315.87427
106,2613182369560.784,1470204096291.9043,-31132118794.679173
107,2610597618966.9834,1475715458535.223,-31119526579.490677
108,2608003247644.042,1481221377503.4797,-31106819768.0513
109,2605399269479.4004,1486721835384.8757,-31093998458.62529
110,2602785698397.776,1492216814410.3894,-31081062749.994755
111,2600162548360.9893,1497706296853.83,-31068012741.45697
