,Position X (m),Position Y (m),Position Z (m)
0,-94900000000.0,-54700000000.0,4940000000.0
1,-82942240000.0,-78615520000.0,3445280000.0
2,-65481784838.035934,-97315608434.13812,1721989224.0273
3,-43999349582.534584,-110038739961.07948,-107068364.64636254
4,-19895708393.13711,-116206945247.63206,-1929751531.48385
5,5411366951.7518425,-115347298155.97786,-3635730917.432617
6,30370716579.574623,-107071248553.79204,-5107945967.245621
7,53152828593.22023,-91118684720.45256,-6213940935.070782
8,71468752402.8252,-67509538891.090805,-6797776023.386808
9,82380270117.0952,-36906130736.960785,-6677307611.180887
10,82277171253.92662,-1368466879.588585,-5664020038.942669
11,67635938395.98901,34410185354.85476,-3649881687.1254406
12,37702207258.61223,62406736853.39631,-810469523.4089494
13,-1871447673.9889832,74442044523.88881,2236156815.6258464
14,-40994401126.646454,68630355551.6893,4746676128.343233
15,-72204930462.86087,49573800396.72339,6341205438.547792
16,-92847013490.40741,23260984388.46243,7007696621.539146
17,-103078719021.92966,-5660860087.995426,6888533228.5854
18,-104085177587.07188,-34077350276.83213,6152923879.742658
19,-97274338144.1561,-59936068585.35926,4955245283.097608
20,-84015683089.06723,-81823940111.13611,3429143034.8591866
21,-65598316324.81268,-98690296031.4607,1692506938.7526414
22,-43271938276.77651,-109679377948.31052,-144985088.16694736
23,-18325660261.90254,-114033956400.63823,-1973749471.4181504
24,7802124716.571121,-111051422349.78561,-3675541739.718135
25,33372350348.202885,-100097482599.26868,-5113493350.191321
26,56136138103.2547,-80718285455.93964,-6120987242.674424
27,73073872331.2882,-52958596702.06676,-6492827885.431751
28,80219240977.09067,-18102047387.200523,-5994175683.7340555
29,73158052803.11816,19956143924.820885,-4433528971.843164
30,49533763922.29581,53484796084.02638,-1868691293.1999493
31,13254349275.279259,73323858186.44357,1173769224.001327
32,-26182576097.422043,75607862374.2488,3935039779.5392504
33,-60569611109.69343,63335750386.562454,5938891365.525175
34,-86109366644.41829,41815832031.188995,7076001631.6810255
35,-102012909074.64885,15614870435.043633,7421740997.3312235
36,-108800305316.00128,-11985056597.157162,7104600602.037605
37,-107424299742.14998,-38690513700.3721,6254660197.387126
38,-98930876117.523,-62838424180.78324,4990525571.408254
39,-84362353660.22891,-83134922755.49442,3420097702.617331
40,-64763359133.36975,-98483714839.96248,1645841184.6705804
41,-41238285736.77338,-107875878880.92316,-228166959.1264243
42,-15050022406.195087,-110324455793.95703,-2087634958.7655103
43,12228588176.927914,-104846912450.8129,-3797204497.2186913
44,38486163918.4841,-90532506941.22365,-5186729769.583484
45,60750921670.29173,-66802058064.77835,-6036627452.671638
46,74866548924.77823,-34101493467.38909,-6075354878.797778
47,75705913015.9347,4643204817.977203,-5035220654.322829
48,59394384010.55575,42314663103.80878,-2852853551.6004887
49,27927149812.320423,69138069897.11598,58545929.13188934
50,-10173872201.95631,79421433425.53908,2955152944.625244
51,-46289973151.54573,74444143782.0821,5283929995.103193
52,-75644731797.11575,58620296402.55277,6843302331.988471
53,-96541261279.97394,36246580103.19885,7638919901.154619
54,-108816824842.40674,10633379237.065456,7753394688.723903
55,-112930890601.45361,-15783785530.776443,7287106281.913567
56,-109562460507.23436,-41164251923.28245,6338599863.788798
57,-99462796733.65526,-64027501494.41524,5001163355.869826
58,-83426446867.32297,-83084524713.3525,3365621553.747319
59,-62325058539.95796,-97118418909.84213,1526029110.2573931
