days,Position X (m),Position Y (m),Position Z (m)
0,-237000000000.0,-151000000000.0,6430000000.0
1,-235804224000.0,-152644192000.0,6430000000.0
2,-234597906560.88626,-154281561432.51523,6429712555.958638
3,-233381088652.94363,-155912026594.14905,6429137325.696091
4,-232153812065.29993,-157535506054.02374,6428273985.885277
5,-230916119404.34335,-159151918664.3881,6427122232.16593
6,-229668054091.96878,-160761183571.22748,6425681779.255541
7,-228409660363.65247,-162363220224.87347,6423952361.057121
8,-227140983266.35468,-163957948390.60928,6421933730.763717
9,-225862068656.2496,-165545288159.26825,6419625660.959623
10,-224572963196.28238,-167125159957.82172,6417027943.718248
11,-223273714353.55292,-168697484559.95297,6414140390.696564
12,-221964370396.526,-170262183096.61414,6410962833.226094
13,-220644980392.06802,-171819177066.5623,6407495122.400398
14,-219315594202.30975,-173368388346.87177,6403737129.158986
15,-217976262481.33557,-174909739203.41895,6399688744.36763
16,-216627036671.69904,-176443152301.33633,6395349878.89502
17,-215267969000.76495,-177968550715.43225,6390720463.6857195
18,-213899112476.8783,-179485857940.57312,6385800449.829382
19,-212520520885.36023,-180994997902.02438,6380589808.626178
20,-211132248784.33163,-182495894965.7471,6375088531.648406
21,-209734351500.36478,-183988473948.64636,6369296630.798242
22,-208326885123.96338,-185472660128.76846,6363214138.361583
23,-206909906504.87204,-186948379255.44302,6356841107.057973
24,-205483473247.21567,-188415557559.36694,6350177610.086558
25,-204047643704.46964,-189874121762.62656,6343223741.168047
26,-202602476974.26154,-191323999088.65466,6335979614.582649
27,-201148032893.00574,-192765117272.11896,6328445365.203966
28,-199684372030.3715,-194197404568.73853,6320621148.528804
29,-198211555683.586,-195620789765.025,6312507140.702888
30,-196729645871.57333,-197035202187.945,6304103538.542459
31,-195238705328.93082,-198440571714.5006,6295410559.551727
32,-193738797499.74408,-199836828781.2244,6286428441.936172
33,-192229986531.24213,-201223904393.58582,6277157444.611659
34,-190712337267.29413,-202601730135.30582,6267597847.209384
35,-189185915241.74948,-203970238177.5761,6257749950.0766
36,-187650786671.62265,-205329361288.18027,6247614074.273144
37,-186107018450.12482,-206679032840.5132,6237190561.563736
38,-184554678139.54388,-208019186822.49615,6226479774.406056
39,-182993833963.97488,-209349757845.38367,6215482095.934588
40,-181424554801.9027,-210670681152.4601,6204197929.94022
41,-179846910178.6393,-211981892627.6222,6192627700.845616
42,-178260970258.6172,-213283328803.8448,6180771853.676349
43,-176666805837.54175,-214574926871.52713,6168630854.027787
44,-175064488334.40445,-215856624686.7164,6156205188.027768
45,-173454089783.35916,-217128360779.20602,6143495362.295029
46,-171835682825.46423,-218390074360.5058,6130501903.893426
47,-170209340700.29257,-219641705331.68134,6117225360.28195
48,-168575137237.41226,-220883194291.0598,6103666299.260536
49,-166933146847.7404,-222114482541.79987,6089825308.9116955
50,-165283444514.77252,-223335512099.32275,6075702997.537972
51,-163626105785.6909,-224546225698.60254,6061299993.595257
52,-161961206762.35355,-225746566801.31268,6046616945.621959
53,-160288824092.1678,-226936479602.827,6031654522.164072
54,-158609034958.8503,-228115909039.07224,6016413411.696147
55,-156921917073.07724,-229284800793.23062,6000894322.538201
56,-155227548663.027,-230443101302.28983,5985097982.768586
57,-153526008464.81897,-231590757763.43835,5969025140.13285
58,-151817375712.8509,-232727718140.30453,5952676561.94861
59,-150101730130.03842,-233853931169.037,5936053035.006488
60,-148379151917.95975,-234969346364.22473,5919155365.467116
61,-146649721746.90854,-236073914024.65536,5901984378.754278
62,-144913520745.8584,-237167585238.90936,5884540919.44419
63,-143170630492.3423,-238250311890.78894,5866825851.1509905
64,-141421133002.24994,-239322046664.58005,5848840056.408461
65,-139665110719.54688,-240382743050.14587,5830584436.548024
66,-137902646505.9182,-241432355347.85052,5812059911.573065
67,-136133823630.34076,-242470838673.3117,5793267420.029619
68,-134358725758.58676,-243498148961.98093,5774207918.873476
69,-132577436942.66283,-244514242973.5502,5754882383.333744
70,-130790041610.1874,-245519078296.1843,5735291806.772929
71,-128996624553.7104,-246512613350.5774,5715437200.543578
72,-127197270919.9785,-247494807393.83328,5695319593.841542
73,-125392066199.14941,-248465620523.1682,5674940033.555907
74,-123581096213.959,-249425013679.43597,5654299584.115656
75,-121764447108.84459,-250372948650.47415,5633399327.333117
76,-119942205339.02806,-251309388074.27118,5612240362.244251
77,-118114457659.56232,-252234295441.95377,5590823804.94585
78,-116281291114.34468,-253147635100.59418,5569150788.42969
79,-114442793025.10085,-254049372255.83713,5547222462.413721
80,-112599050980.34285,-254939472974.34595,5525039993.170336
81,-110750152824.30478,-255817904186.068,5502604563.351802
82,-108896186645.85965,-256684633686.31924,5479917371.812906
83,-107037240767.42108,-257539630137.68784,5456979633.430889
84,-105173403733.83331,-258382863071.75702,5433792578.922725
85,-103304764301.25308,-259214302890.6474,5410357454.659826
86,-101431411426.02692,-260033920868.3788,5386675522.480238
87,-99553434253.56732,-260841689152.05228,5362748059.4983835
88,-97670922107.23138,-261637580762.85217,5338576357.912444
89,-95783964477.20522,-262421569596.86948,5314161724.809429
90,-93892651009.39774,-263193630425.74625,5289505481.968024
91,-91997071494.34721,-263953738897.14243,5264608965.659273
92,-90097315856.1439,-264701871535.02524,5239473526.445175
93,-88193474141.37228,-265438005739.78235,5214100528.975268
94,-86285636508.07608,-266162119788.15945,5188491351.78127
95,-84373893214.74947,-266874192833.02322,5162647387.069849
96,-82458334609.3578,-267574204902.95087,5136570040.513605
97,-80539051118.39096,-268262136901.647,5110260731.040327
98,-78616133235.9526,-268937970607.1895,5083720890.620607
99,-76689671512.88855,-269601688671.105,5056951964.053882
100,-74759756545.9573,-270253274617.27582,5029955408.752979
101,-72826478967.04596,-270892712840.67935,5002732694.527246
102,-70889929432.43437,-271519988605.96167,4975285303.364331
103,-68950198612.11067,-272135088045.84644,4947614729.210694
104,-67007377179.14118,-272737998159.38107,4919722477.750933
105,-65061555799.09745,-273328706810.02148,4891610066.185981
106,-63112825119.54345,-273907202723.55728,4863279023.010272
107,-61161275759.58563,-274473475485.87915,4834730887.787938
108,-59206998299.48868,-275027515540.59,4805967210.928118
109,-57250083270.35962,-275569314186.462,4776989553.459452
110,-55290621143.90305,-276098863574.741,4747799486.803839
111,-53328702322.24996,-276616156706.30133,4718398592.549535
112,-51364417127.86279,-277121187428.651,4688788462.22366
113,-49397855793.519226,-277613950432.79175,4658970697.064199
114,-47429108452.37714,-278094441249.934,4628946907.791558
115,-45458265128.12308,-278562656248.0703,4598718714.379763
116,-43485415725.206635,-279018592628.4083,4568287745.827361
117,-41510650019.16293,-279462248421.6663,4537655639.928116
118,-39534057647.02551,-279893622484.2333,4506824043.041539
119,-37555728097.83163,-280312714494.19574,4475794609.863359
120,-35575750703.222206,-280719524947.2335,4444569003.195981
121,-33594214628.13833,-281114055152.3874,4413148893.719002
122,-31611208861.61629,-281496307227.7002,4381535959.759866
123,-29626822207.683105,-281866284095.73444,4349731887.06471
124,-27641143276.354256,-282223989478.96857,4317738368.56947
125,-25654260474.735477,-282569427895.07446,4285557104.171326
