days,Position X (m),Position Y (m),Position Z (m)
0,-46800000000.0,-44400000000.0,2840000000.0
1,-44556192000.0,-47689248000.0,2391584000.0
2,-42153792302.13389,-50808754070.198425,1934655516.036753
3,-39606327253.791824,-53753411712.97462,1471069268.918594
4,-36927032582.265434,-56519152861.25543,1002586605.641688
5,-34128798805.17252,-59102852066.45703,530874723.66662776
6,-31224130613.074173,-61502234606.88916,57507281.13534087
7,-28225118241.364456,-63715789585.65836,-416033897.34347284
8,-25143418980.88195,-65742688704.10787,-888356272.3683782
9,-21990247140.39523,-67582711090.232346,-1358153415.3504922
10,-18776370952.639633,-69236174322.74817,-1824201390.1652317
11,-15512115096.89557,-70703871611.06456,-2285354841.648889
12,-12207367686.867,-71987014959.75867,-2740542913.8734536
13,-8871590737.447773,-73087184054.36421,-3188765096.8269663
14,-5513833274.703598,-74006280545.31447,-3629087079.280238
15,-2142746388.551155,-74746487371.77373,-4060636668.005475
16,1233400353.1456532,-75310232750.97118,-4482599818.827455
17,4606701606.561298,-75700158456.66718,-4894216812.901007
18,7969598458.197577,-75919092018.61111,-5294778601.783526
19,11314860447.688354,-75970022490.17873,-5683623336.986101
20,14635567655.228725,-75856079451.3758,-6060133093.444268
21,17925093048.153236,-75580514937.20493,-6423730791.4825
22,21177085236.784756,-75146688005.61638,-6773877318.120216
23,24385451753.20408,-74558051683.8781,-7110068845.778303
24,27544342936.91281,-73818142056.47198,-7431834344.420368
25,30648136487.463573,-72930569281.0489,-7738733281.756065
26,33691422725.119705,-71899010341.22418,-8030353505.222902
27,36668990585.70723,-70727203365.86935,-8306309298.947169
28,39575814364.37069,-69418943363.95383,-8566239608.681552
29,42407041214.37698,-67978079241.87887,-8809806427.75967
30,45157979400.952614,-66408511986.64537,-9036693337.342402
31,47824087305.9936,-64714193913.15509,-9246604194.614632
32,50400963177.02614,-62899128887.534874,-9439261963.090433
33,52884335612.75344,-60967373450.676865,-9614407679.773405
34,55270054777.68332,-58923038777.29249,-9771799554.577343
35,57554084339.52233,-56770293415.76991,-9911212198.12564
36,59732494125.11205,-54513366763.08583,-10032435974.805418
37,61801453493.572266,-52156553237.02631,-10135276478.746904
38,63757225428.9331,-49704217115.08225,-10219554131.225788
39,65596161358.83693,-47160798015.65458,-10285103898.843412
40,67314696710.84548,-44530817002.67093,-10331775132.726406
41,68909347223.49117,-41818883299.4026,-10359431529.90383
42,70376706035.47305,-39029701601.18377,-10367951218.967848
43,71713441583.33987,-36168079979.862274,-10357226973.10493
44,72916296345.65889,-33238938375.118584,-10327166554.600876
45,73982086480.08498,-30247317669.21994,-10277693195.97618
46,74907702408.96957,-27198389342.246582,-10208746223.999613
47,75690110419.2407,-24097465704.222225,-10120281833.957165
48,76326355353.30083,-20950010698.753616,-10012274022.71896
49,76813564479.68411,-17761651269.546696,-9884715690.343952
50,77148952645.23842,-14538189276.287262,-9737619921.183304
51,77329828824.68224,-11285613939.56914,-9571021456.676128
52,77353604198.54855,-8010114785.4811535,-9384978373.257404
53,77217801906.74312,-4718095048.719318,-9179573979.991653
54,76920068642.14734,-1416185478.1925163,-8954918951.671864
55,76458188266.754,1888741529.521978,-8711153714.133612
56,75830097651.51494,5189557566.490782,-8448451099.366494
57,75033904960.06863,8478863745.199196,-8167019288.5773325
58,74067910615.31122,11748976285.499062,-7867105061.567449
59,72930631205.69258,14991912357.322424,-7548997370.497154
60,71620826604.22478,18199376428.511005,-7213031255.158486
61,70137530586.23515,21362747424.811867,-6859592115.056675
62,68480085240.24873,24473067076.822712,-6489120350.660598
63,66648179467.93755,27521029907.48774,-6102116381.819155
64,64641891861.161,30496975404.570965,-5699146045.192939
65,62461738223.41266,33390883026.037792,-5280846364.196359
66,60108723965.40242,36192370802.69402,-4847931673.899732
67,57584401545.12268,38890698431.330666,-4401200069.061868
68,54890933035.78034,41474775891.58634,-3941540125.3645334
69,52031157783.76574,43933178767.973434,-3469937821.394021
70,49008664955.96688,46254171610.364716,-2987483561.375445
71,45827870563.32035,48425740814.61995,-2495379165.609083
72,42494098277.58657,50435638639.79779,-1994944656.6548514
73,39013663023.7262,52271440085.678955,-1487624624.527206
74,35393955925.52468,53920614415.93582,-974993903.9222307
75,31643528705.18208,55370613105.30876,-458762241.881842
76,27772175091.693592,56608975885.91086,59222422.72422862
77,23791006188.99666,57623456336.42167,576972502.8441958
78,19712516114.606724,58402168063.923935,1092361616.115181
79,15550633577.776423,58933751937.08601,1603128273.0177994
80,11320754473.955357,59207564011.39107,2106882947.5515661
81,7039750097.639912,59213882722.87735,2601119071.0928254
82,2725945303.3462906,58944132615.51572,3083228445.9390454
83,-1600939027.9922075,58391120335.3739,3550521483.569965
84,-5919884429.974563,57549276934.748886,4000252525.6606817
85,-10208718485.102747,56414898787.21168,4429650298.566609
86,-14444306446.423937,54986377771.171936,4835953285.145459
87,-18602791560.344147,53264410026.733505,5216449479.868976
88,-22659882182.28565,51252171745.43073,5568519641.965338
89,-26591180741.913197,48955450331.7957,5889682804.267733
90,-30372546386.679947,46382720060.86725,6177642468.3159685
91,-33980480011.378407,43545153152.12709,6430331659.742228
92,-37392517718.38157,40456559980.35203,6645954872.14153
93,-40587616903.59812,37133255802.7199,6823024925.122275
94,-43546518427.534386,33593855615.289146,6960392921.377369
95,-46252068896.580185,29859003163.512074,7057269807.131187
96,-48689488975.88717,25951044262.87633,7113238497.178862
97,-50846576734.85831,21893657989.095745,7128256077.149286
98,-52713838981.29538,17711461608.055176,7102646185.054721
99,-54284547949.0634,13429606113.00958,7037082240.268715
100,-55554725100.52593,9073378875.13287,6932562674.413512
101,-56523057752.87828,4667828321.896025,6790379682.334127
102,-57190757394.60346,237423004.30749702,6612083228.374557
103,-57561370716.44995,-4194245748.2860622,6399442109.881475
104,-57640555477.9575,-8604711783.456633,6154403810.625853
105,-57435833433.45255,-12972830178.124367,5879054699.117952
106,-56956331815.21051,-17278921791.094547,5575581874.966286
107,-56212523535.727974,-21504869087.430992,5246237675.818542
108,-55215974559.9301,-25634167748.934666,4893307559.601694
109,-53979105028.16052,-29651939702.6862,4519081796.643839
110,-52514968859.90918,-33544913753.189472,4125831160.838482
111,-50837054866.25408,-37301380089.904564,3715786607.7015367
112,-48959110927.34265,-40911124672.733734,3291122772.91782
113,-46894991588.87189,-44365348983.97977,2853945015.8939366
114,-44658528504.127686,-47656579975.09495,2406279663.8977036
115,-42263422478.12577,-50778574311.09149,1950067076.8792346
116,-39723155426.083885,-53726220286.17305,1487157143.8438354
117,-37050920301.55843,-56495440093.78601,1019306831.7977374
118,-34259566940.695927,-59083094509.66881,548179431.724963
119,-31361561771.284767,-61486891501.58551,75345177.71480787
120,-28368959416.315247,-63705299818.72058,-397717048.7418978
121,-25293384354.68376,-65737468235.048744,-869617180.1113942
122,-22146020965.153038,-67583150818.08136,-1339050804.337559
123,-18937610457.449562,-69242638358.65839,-1804795566.9377658
124,-15678453374.613457,-70716695919.42043,-2265707283.0345507
125,-12378416525.239746,-72006506329.79529,-2720715881.0694613
126,-9046943367.78282,-73113619364.90323,-3168821275.868234
127,-5693067018.567385,-74039906286.7809,-3609089248.0825577
128,-2325425189.112745,-74787519391.86166,-4040647389.593279
129,1047723523.4665227,-75358856192.92235,-4462681159.922767
130,4418482466.399635,-75756527861.9223,-4874430086.739791
131,7779299266.512346,-75983331568.44801,-5275184133.8150835
132,11122947980.472456,-76042226363.76076,-5664280251.980536
133,14442511306.205252,-75936312280.32965,-6041099122.465356
134,17731363048.572304,-75668812339.38336,-6405062097.164153
135,20983150988.41478,-75243057183.05257,-6755628336.702412
136,24191780267.923855,-74662472072.0928,-7092292144.403032
137,27351397375.890133,-73930566014.25002,-7414580492.252232
138,30456374792.6964,-73050922811.56328,-7722050733.569393
139,33501296336.070744,-72027193836.96474,-8014288496.182947
140,36480943233.844185,-70863092371.2406,-8290905749.403361
141,39390280938.60132,-69562389350.65817,-8551539037.883308
142,42224446690.615814,-68128910393.31295,-8795847875.497778
143,44978737829.355156,-66566533988.52241,-9023513292.610231
144,47648600849.72871,-64879190748.441315,-9234236530.47247
145,50229621196.81692,-63070863634.56611,-9427737877.002462
146,52717513791.79266,-61145589084.01592,-9603755638.770239
147,55108114281.9155,-59107458971.51095,-9762045244.67737
148,57397371008.67725,-56960623352.899925,-9902378477.526129
149,59581337690.272125,-54709293944.99886,-10024542830.429598
150,61656166817.45797,-52357748304.464676,-10128340985.806616
151,63618103765.49825,-49910334675.50377,-10213590415.531263
152,65463481629.18042,-47371477482.45705,-10280123101.663042
153,67188716792.8718,-44745683448.74723,-10327785378.070505
154,68790305253.19276,-42037548328.343376,-10356437894.17837
155,70264819718.16798,-39251764239.79647,-10365955703.017408
156,71608907513.68462,-36393127596.01522,-10356228476.739834
157,72819289335.77513,-33466547625.247585,-10327160853.782204
158,73892758895.69817,-30477055480.1533,-10278672922.91517
159,74826183514.06496,-27429813932.309795,-10210700850.515575
160,75616505730.40791,-24330127648.873547,-10123197658.531479
161,76260746005.67159,-21183454046.27063,-10016134161.78278
162,76756006607.18015,-17995414712.52436,-9889500074.444668
163,77099476778.7484,-14771807384.909698,-9743305296.790468
164,77288439312.79143,-11518618462.767159,-9577581394.511917
165,77320278656.56291,-8242036026.168165,-9392383284.17022
166,77192490700.99368,-4948463319.288287,-9187791139.534267
167,76902694417.94186,-1644532642.3294582,-8963912534.697336
168,76448645529.86955,1662880422.9293804,-8720884840.882166
169,75828252414.80519,4966642552.036854,-8458877894.683276
170,75039594468.59424,8259348107.625661,-8178096956.071881
171,74080943165.38803,11533304620.72507,-7878785974.697291
172,72950786075.37794,14780518525.571758,-7561231182.724977
173,71647854115.00235,17992681399.048744,-7225765031.4877825
174,70171152317.97488,21161157014.09641,-6872770487.385274
175,68519994423.84977,24276969584.77854,-6502685699.492743
176,66694041582.32263,27330793660.20859,-6116009046.929217
177,64693345463.36249,30312946216.174023,-5713304567.817911
178,62518396042.2145,33213381597.70634,-5295207763.225879
179,60170174290.17298,36021690083.256836,-4862431758.30283
180,57650209941.829666,38727100971.095604,-4415773788.404991
181,54960644421.39864,41318491229.596985,-3956121959.6971684
182,52104298887.98375,43784400902.352394,-3484462210.963914
183,49084747194.815315,46113056611.81465,-3001885375.5404143
184,45906393342.5817,48292404654.217354,-2509594208.8929877
185,42574552734.05037,50310155313.51234,-2008910208.1131692
186,39095536198.99281,52153840128.95081,-1501280004.4168394
187,35476735349.64362,53810883911.261635,-988281059.1056418
188,31726707345.595215,55268693292.95503,-471626338.46514946
189,27855256596.64596,56514763491.1243,46832414.24202931
190,23873510324.075706,57536804724.092995,565103248.0130193
191,19793984257.225506,58322889321.63277,1081054903.9940457
192,15630634098.800758,58861619967.79884,1592420575.0544946
193,11398887800.731941,59142318685.968414,2096805074.5172622
194,7115653221.810598,59155235098.65442,2591695955.7341185
195,2799295474.355686,58891771170.18548,3074479078.309645
196,-1530421691.8391724,58344718096.295074,3542459023.057651
197,-5852435671.375042,57508499305.61093,3992884608.0935745
198,-10144530203.76975,56379411791.96596,4422979548.210558
199,-14383528726.25552,54955856356.87171,4829978029.934377
200,-18545536504.63693,53238546001.990105,5211164654.290916
201,-22606229520.559837,51230680890.25001,5563917846.583643
202,-26541185040.375862,48938078207.892586,5885755475.288422
203,-30326245555.97554,46369246087.17532,6174381096.695331
204,-33937904675.02613,43535392591.83582,6427728989.003453
205,-37353700899.93082,40450363611.14905,6644005999.138895
206,-40552603425.96869,37130507201.92505,6821728229.7706375
207,-43515373406.35927,33594466170.839916,6959750760.36309
208,-46224884756.26354,29862905100.444923,7057288922.342665
209,-48666390520.02836,25958182131.810787,7113930110.527513
210,-50827723950.95416,21903979179.286434,7129635667.263024
211,-52699427435.88196,17724906509.45763,7104732965.244035
212,-54274806812.72451,13446098554.004768,7039898378.452634
213,-55549913011.511795,9092817408.076572,6936132312.102485
214,-56523456865.91879,4690078827.947583,6794727819.878801
215,-57196666056.255615,262312957.5432253,6617234547.056725
216,-57573095255.36488,-4166931162.156554,6405419798.5210905
217,-57658401599.80541,-8575231639.824571,6161228456.392209
218,-57460097673.104195,-12941487948.433758,5886743290.76331
219,-56987293433.487885,-17246063809.966934,5584146953.450622
220,-56250437165.99433,-21470881591.429752,5255686653.817765
221,-55261063821.67112,-25599472766.27921,4903642218.920545
222,-54031557239.30518,-29616990086.52015,4530297961.923793
223,-52574930903.272575,-33510187642.76762,4137918539.6017423
224,-50904630201.95444,-37267375060.08615,3728728780.810179
225,-49034357693.92938,-40878351798.144394,3304897315.8078976
226,-46977921701.05302,-44334327005.13007,2868523729.163735
227,-44749107633.07924,-47627829713.61926,2421628891.6048427
228,-42361570789.407005,-50752613443.012764,1966148091.8347301
229,-39828748947.909004,-53703558547.609955,1503926580.912046
230,-37163792800.35744,-56476574963.84337,1036717152.4013159
231,-34379512189.51958,-59068507390.77129,566179405.1587136
232,-31488336107.969845,-61477044398.133644,93880367.30040151
233,-28502284501.070614,-63700632500.26576,-378703804.3107495
234,-25432950049.86225,-65738395859.626816,-850185297.7617502
235,-22291488272.712044,-67590061984.26757,-1319261505.597135
236,-19088614461.494274,-69255893550.66483,-1784711448.9325433
237,-15834606147.176863,-70736626307.54788,-2245391914.1753883
238,-12539309962.946201,-72033412888.2405,-2700233422.9836516
239,-9212151935.237614,-73147772269.8537,-3148236132.2378187
240,-5862150381.255619,-74081544559.52649,-3588465740.351713
241,-2497930724.3656306,-74836850754.01303,-4020049458.97459
242,872258344.157063,-75416057103.51549,-4442172094.740053
243,4240527826.641161,-75821743709.0281,-4854072273.868662
244,7599330885.7742815,-76056676990.76472,-5255038832.799523
245,10941445123.961964,-76123785680.45381,-5644407390.295425
246,14259954919.72018,-76026140010.03635,-6021557110.344639
247,17548234012.916122,-75766933791.7804,-6385907660.408741
248,20799928487.06186,-75349469108.67389,-6736916365.909781
249,24008940261.03472,-74777143358.17502,-7074075559.112808
250,27169411173.432533,-74053438416.27512,-7396910118.571692
251,30275707719.277203,-73181911711.8719,-7704975193.924194
252,33322406480.082996,-72166189023.33849,-7997854109.927059
253,36304280273.64826,-71009958829.71312,-8275156443.11497
254,39216285038.661156,-69716968068.02705,-8536516264.267729
255,42053547460.77827,-68291019165.901535,-8781590539.912502
256,44811353340.7751,-66735968234.69837,-9010057686.319778
257,47485136701.290726,-65055724323.24975,-9221616269.830904
258,50070469626.27597,-63254249645.59317,-9415983847.848799
259,52563052826.24295,-61335560708.276215,-9592895945.40625
260,54958706922.59369,-59303730273.75916,-9752105162.878597
261,57253364445.5094,-57162890106.315605,-9893380411.11534
262,59443062541.98132,-54917234455.69101,-10016506271.017872
263,61523936393.46178,-52571024241.69957,-10121282475.381243
264,63492213346.241714,-50128591909.9815,-10207523511.64209
265,65344207761.974625,-47594346935.356895,-10275058345.030653
266,67076316600.74232,-44972781954.634384,-10323730262.511223
267,68685015754.690895,-42268479515.383896,-10353396838.813282
268,70166857156.56621,-39486119431.06774,-10363930026.806387
269,71518466694.47095,-36630486736.027054,-10355216375.457447
270,72736542971.88707,-33706480236.106358,-10327157379.631527
271,73817856960.50261,-30719121652.10709,-10279669967.058556
272,74759252602.70409,-27673565353.70524,-10212687128.889334
273,75557648430.8029,-24575108680.83102,-10126158701.40499
274,76210040281.21497,-21429202847.638165,-10020052307.622568
275,76713505193.9654,-18241464420.89439,-9894354468.751287
276,77065206601.09282,-15017687359.66584,-9749071896.691105
277,77262400921.8178,-11763855596.256733,-9584232980.015162
278,77302445697.72816,-8486156129.152748,-9399889477.121578
279,77182809417.70143,-5190992586.7871685,-9196118431.45183
280,76901083199.76035,-1884999205.8124852,-8973024324.816067
