days,Position X (m),Position Y (m),Position Z (m)
0,1150000000000.0,-1030000000000.0,-56000000000.0
1,1150597888000.0,-1029252640000.0,-56000000000.0
2,1151195465320.3267,-1028505002070.9407,-55999984843.66589
3,1151792731768.8142,-1027757086385.1912,-55999954529.45492
4,1152389687153.4517,-1027008893115.3293,-55999909055.833664
5,1152986331282.3823,-1026260422434.1416,-55999848421.27809
6,1153582663963.905,-1025511674514.6223,-55999772624.27354
7,1154178685006.4739,-1024762649529.9742,-55999681663.31471
8,1154774394218.699,-1024013347653.608,-55999575536.9057
9,1155369791409.3462,-1023263769059.142,-55999454243.55998
10,1155964876387.3376,-1022513913920.4022,-55999317781.80042
11,1156559648961.7522,-1021763782411.4224,-55999166150.15928
12,1157154108941.8254,-1021013374706.4432,-55998999347.178215
13,1157748256136.9502,-1020262690979.9128,-55998817371.408295
14,1158342090356.6768,-1019511731406.4862,-55998620221.40999
15,1158935611410.713,-1018760496161.0254,-55998407895.753174
16,1159528819108.9248,-1018008985418.5989,-55998180393.01716
17,1160121713261.3364,-1017257199354.4818,-55997937711.790665
18,1160714293678.1306,-1016505138144.1556,-55997679850.671844
19,1161306560169.6492,-1015752801963.3081,-55997406808.26827
20,1161898512546.3926,-1015000190987.8329,-55997118583.19696
21,1162490150619.0212,-1014247305393.8296,-55996815174.084366
22,1163081474198.355,-1013494145357.6035,-55996496579.56638
23,1163672483095.3735,-1012740711055.6654,-55996162798.28836
24,1164263177121.2173,-1011987002664.7316,-55995813828.90509
25,1164853556087.1865,-1011233020361.7235,-55995449670.080826
26,1165443619804.743,-1010478764323.7676,-55995070320.48927
27,1166033368085.509,-1009724234728.1953,-55994675778.813614
28,1166622800741.2688,-1008969431752.5426,-55994266043.74649
29,1167211917583.968,-1008214355574.5502,-55993841113.99002
30,1167800718425.714,-1007459006372.163,-55993400988.2558
31,1168389203078.7769,-1006703384323.5302,-55992945665.26489
32,1168977371355.5884,-1005947489607.005,-55992475143.74786
33,1169565223068.7441,-1005191322401.1445,-55991989422.444756
34,1170152758031.002,-1004434882884.7096,-55991488500.1051
35,1170739976055.2834,-1003678171236.6644,-55990972375.487946
36,1171326876954.6738,-1002921187636.1768,-55990441047.36181
37,1171913460542.4219,-1002163932262.6173,-55989894514.50474
38,1172499726631.941,-1001406405295.5599,-55989332775.70428
39,1173085675036.8083,-1000648606914.7814,-55988755829.757484
40,1173671305570.7666,-999890537300.2609,-55988163675.47093
41,1174256618047.7231,-999132196632.1802,-55987556311.660706
42,1174841612281.7505,-998373585090.9235,-55986933737.15242
43,1175426288087.087,-997614702857.0769,-55986295950.78121
44,1176010645278.1365,-996855550111.4287,-55985642951.391754
45,1176594683669.469,-996096127034.9689,-55984974737.83824
46,1177178403075.8213,-995336433808.8889,-55984291308.98442
47,1177761803312.0964,-994576470614.5819,-55983592663.70357
48,1178344884193.3643,-993816237633.642,-55982878800.8785
49,1178927645534.8623,-993055735047.8644,-55982149719.401596
50,1179510087151.995,-992294963039.2454,-55981405418.17477
51,1180092208860.3354,-991533921789.9817,-55980645896.10949
52,1180674010475.6235,-990772611482.4708,-55979871152.1268
53,1181255491813.7683,-990011032299.3105,-55979081185.15729
54,1181836652690.8472,-989249184423.2987,-55978275994.14111
55,1182417492923.1064,-988487068037.4332,-55977455578.028
56,1182998012326.9612,-987724683324.9117,-55976619935.77724
57,1183578210718.9963,-986962030469.1316,-55975769066.3577
58,1184158087915.966,-986199109653.6895,-55974902968.747826
59,1184737643734.7947,-985435921062.3813,-55974021641.935646
60,1185316877992.5767,-984672464879.2023,-55973125084.91877
61,1185895790506.5767,-983908741288.3462,-55972213296.704384
62,1186474381094.2305,-983144750474.2057,-55971286276.30928
63,1187052649573.1445,-982380492621.3718,-55970344022.75983
64,1187630595761.0967,-981615967914.6342,-55969386535.092
65,1188208219476.0364,-980851176538.9801,-55968413812.351364
66,1188785520536.0845,-980086118679.5952,-55967425853.593094
67,1189362498759.5344,-979320794521.8627,-55966422657.88196
68,1189939153964.8516,-978555204251.3634,-55965404224.292336
69,1190515485970.6738,-977789348053.8755,-55964370551.90821
70,1191091494595.8123,-977023226115.3744,-55963321639.82319
71,1191667179659.2507,-976256838622.0323,-55962257487.14049
72,1192242540980.1465,-975490185760.2186,-55961178092.97293
73,1192817578377.8306,-974723267716.4989,-55960083456.44298
74,1193392291671.8076,-973956084677.6353,-55958973576.6827
75,1193966680681.7566,-973188636830.5862,-55957848452.83379
76,1194540745227.531,-972420924362.506,-55956708084.047585
77,1195114485129.1587,-971652947460.7449,-55955552469.48504
78,1195687900206.8425,-970884706312.8486,-55954381608.316734
79,1196260990280.9604,-970116201106.5585,-55953195499.7229
80,1196833755172.066,-969347432029.8109,-55951994142.893394
81,1197406194700.8882,-968578399270.7374,-55950777537.02772
82,1197978308688.3323,-967809103017.6642,-55949545681.33501
83,1198550096955.4792,-967039543459.112,-55948298575.03406
84,1199121559323.587,-966269720783.7964,-55947036217.353294
85,1199692695614.0894,-965499635180.6267,-55945758607.5308
86,1200263505648.5981,-964729286838.7064,-55944465744.8143
87,1200833989248.9016,-963958675947.3329,-55943157628.46118
88,1201404146236.9658,-963187802695.9968,-55941834257.73848
89,1201973976434.9343,-962416667274.3824,-55940495631.92289
90,1202543479665.1287,-961645269872.3672,-55939141750.300766
91,1203112655750.0486,-960873610680.0212,-55937772612.16813
92,1203681504512.3726,-960101689887.6077,-55936388216.83065
93,1204250025774.9573,-959329507685.5822,-55934988563.603676
94,1204818219360.8389,-958557064264.5924,-55933573651.81222
95,1205386085093.2324,-957784359815.4784,-55932143480.790955
96,1205953622795.5325,-957011394529.272,-55930698049.88423
97,1206520832291.3135,-956238168597.1967,-55929237358.44608
98,1207087713404.3298,-955464682210.6675,-55927761405.8402
99,1207654265958.5159,-954690935561.2905,-55926270191.43997
100,1208220489777.9868,-953916928840.863,-55924763714.62845
101,1208786384687.0386,-953142662241.373,-55923241974.79836
102,1209351950510.148,-952368135954.9991,-55921704971.35214
103,1209917187071.973,-951593350174.1104,-55920152703.70189
104,1210482094197.353,-950818305091.2657,-55918585171.269394
105,1211046671711.3098,-950043000899.2145,-55917002373.48614
106,1211610919439.0464,-949267437790.8953,-55915404309.79329
107,1212174837205.9487,-948491615959.4365,-55913790979.64171
108,1212738424837.585,-947715535598.1559,-55912162382.49196
109,1213301682159.7058,-946939196900.56,-55910518517.814285
110,1213864608998.2456,-946162600060.3446,-55908859385.088646
111,1214427205179.3215,-945385745271.3937,-55907184983.80468
112,1214989470529.2346,-944608632727.78,-55905495313.46174
