days,Position X (m),Position Y (m),Position Z (m)
0,0.0,0.0,0.0
10,0.0,0.0,0.0
20,107691.79499719637,-110687.66255381115,-2359.7309426733314
30,327291.78583519446,-332589.9898486482,-7440.014249795671
40,662591.9600469768,-666114.6105630761,-15531.309199363059
50,1117485.7980222018,-1111650.152978665,-26908.227300818115
60,1696338.8402119565,-1669522.2085489368,-41859.45193247184
70,2404365.831642353,-2339821.415259944,-60711.794409704526
80,3248077.747207973,-3121989.3377517904,-83851.14216072082
90,4235748.340879787,-4013898.823590819,-111729.81685877923
100,5377477.926650588,-5009971.466759067,-144818.5767716003
110,6683355.730567561,-6098099.731507844,-183393.93529164387
120,8156921.3860523235,-7257823.30906472,-227037.30049640953
130,9786226.387901958,-8467785.288562577,-274223.47503558634
140,11547987.597617941,-9720801.185176436,-322977.8253168299
150,13421761.02518539,-11025656.085927235,-371786.9394110057
160,15399948.220473342,-12401374.60523176,-420536.9846111994
170,17487591.794613402,-13861298.113138905,-469995.2159965212
180,19691619.21353072,-15412502.385064151,-520753.451133777
190,22018928.61540407,-17059003.575185217,-573250.6016756926
200,24476260.198710527,-18803078.513302255,-627835.4709108504
210,27070302.045487843,-20645879.71200874,-684804.2002304135
220,29807851.173199914,-22587722.94486787,-744427.7451324792
230,32695983.261200797,-24628189.608921193,-806975.6430315023
240,35742231.94553413,-26766108.876143675,-872739.7181656312
250,38954812.07792356,-28999428.519178577,-942060.4417850521
260,42342945.06402993,-31324897.149488505,-1015356.524696031
270,45917309.796668306,-33737303.266636774,-1093149.6352032076
280,49690340.91264037,-36227698.93674658,-1176044.948394702
290,53674939.27628443,-38779887.4788805,-1264538.8551870855
300,57877643.53474856,-41366580.69329549,-1358374.4916628005
310,62284189.69072398,-43956993.369016685,-1455601.139509622
320,66866742.99229594,-46540939.146943636,-1554206.6724638378
330,71605110.24347283,-49123824.1060119,-1653340.8823814804
340,76489236.62983355,-51715291.514123864,-1752890.4517376344
350,81515736.29168133,-54323343.94250356,-1853100.1833406177
360,86684173.5220859,-56953318.706490465,-1954306.9899620253
370,91995166.47114088,-59608595.32562674,-2056835.6863491193
380,97449683.7243033,-62291391.12676351,-2160976.144137629
390,103048869.94614767,-65003315.064144365,-2266989.724493942
400,108794089.94280909,-67745714.25476858,-2375125.185995652
410,114687085.54737152,-70519884.6332114,-2485638.839280302
420,120730237.85718468,-73327182.43928714,-2598819.4969964554
430,126926985.86046149,-76169014.20881431,-2715021.324260571
440,133282501.78676534,-79046561.33941023,-2834707.5155290407
450,139804700.74390838,-81959748.9003724,-2958491.2561790324
460,146504698.2379172,-84904071.92206335,-3087019.548023018
470,153391270.2056733,-87867534.45049286,-3220287.4728290164
480,160469641.04790497,-90835138.59559073,-3358136.057037001
490,167735625.31603563,-93784825.93917494,-3499762.6691685203
500,175169441.93676293,-96702717.21352282,-3643475.8939175787
510,182750884.1957242,-99591459.03847975,-3787978.1533009144
520,190469109.85218874,-102461221.11741567,-3932796.992018312
530,198320900.67432797,-105321834.40649,-4077950.3191413935
540,206306967.86764428,-108180672.41193068,-4223636.3764329525
550,214429785.1244591,-111042892.30147757,-4370093.707563642
560,222692653.23575723,-113912062.77781986,-4517556.624257127
570,231099376.80609316,-116790659.18410705,-4666250.345308534
580,239654218.79264536,-119680377.31363066,-4816402.906626
590,248362008.76527643,-122582307.6611375,-4968268.2234838065
600,257228422.47516704,-125496977.83388953,-5122163.86146179
610,266260581.80406755,-128424037.88730216,-5278525.815300066
620,275467485.3854973,-131360378.26253945,-5437850.274619929
630,284854935.963174,-134299332.51205444,-5600058.691447221
640,294429800.7711197,-137238765.9281294,-5765465.355151322
650,304205927.7377266,-140171015.95974702,-5934982.746183792
660,314195938.95654833,-143076183.1384311,-6109145.997812862
670,324398626.4192408,-145924747.24856874,-6287304.240922703
680,334794258.1988539,-148694063.24119946,-6467760.972912519
690,345358857.00079256,-151378655.96888602,-6649030.116858336
700,356075701.1669012,-153983051.17260867,-6830406.254682735
710,366935291.5363685,-156513660.37342668,-7011721.630030887
720,377932266.8078299,-158975912.01400542,-7193046.808002276
730,389063308.4122347,-161374000.16532835,-7374537.172173194
740,400326149.44343704,-163711285.45369813,-7556377.422623664
750,411719231.75888973,-165990730.5027042,-7738776.128026184
760,423241807.5376166,-168215226.01264754,-7921995.289312699
770,434894611.3680656,-170387480.3272792,-8106415.68446656
780,446680116.31313264,-172507630.39901364,-8292418.16693859
790,458595623.4209445,-174573949.7980142,-8479610.125561122
800,470639318.0305753,-176591790.44000995,-8668013.408594983
810,482815002.48511285,-178566782.30704126,-8858182.162438247
820,495130964.5796909,-180502531.61337748,-9050911.317711124
830,507600297.61941195,-182397601.4941055,-9247159.522987772
840,520237417.35183305,-184239693.31608644,-9447649.648590377
850,533046102.2198309,-186004800.82008958,-9652029.830976732
860,546011643.6804098,-187671925.41843212,-9858754.708437027
870,559112647.1285895,-189235691.69431794,-10066249.853992764
880,572333494.925945,-190701472.24213898,-10273625.817842767
890,585665761.0656891,-192077420.586407,-10480549.494221097
