days,Position X (m),Position Y (m),Position Z (m)
0,2830000000000.0,859000000000.0,-31800000000.0
1,2829850528000.0,859597888000.0,-31800000000.0
2,2829700947418.39,860195742949.3005,-31799998780.962513
3,2829551258264.1963,860793564825.9391,-31799996342.92479
4,2829401460546.4487,861391353607.956,-31799992685.924133
5,2829251554274.1836,861989109273.3949,-31799987809.99791
6,2829101539456.4414,862586831800.3022,-31799981715.18355
7,2828951416102.2686,863184521166.7277,-31799974401.518547
8,2828801184220.7163,863782177350.7239,-31799965869.040447
9,2828650843820.8413,864379800330.3468,-31799956117.78686
10,2828500394911.7046,864977390083.6553,-31799945147.795464
11,2828349837502.3726,865574946588.7112,-31799932959.103985
12,2828199171601.9175,866172469823.5796,-31799919551.75022
13,2828048397219.416,866769959766.3286,-31799904925.772026
14,2827897514363.9497,867367416395.0295,-31799889081.207317
15,2827746523044.606,867964839687.7566,-31799872018.09407
16,2827595423270.477,868562229622.5872,-31799853736.47032
17,2827444215050.66,869159586177.6017,-31799834236.37417
18,2827292898394.258,869756909330.8837,-31799813517.84377
19,2827141473310.3774,870354199060.5199,-31799791580.917343
20,2826989939808.132,870951455344.6,-31799768425.63317
21,2826838297896.6387,871548678161.2169,-31799744052.029594
22,2826686547585.0205,872145867488.4666,-31799718460.14501
23,2826534688882.406,872743023304.4479,-31799691650.01789
24,2826382721797.9272,873340145587.2632,-31799663621.686752
25,2826230646340.723,873937234315.0176,-31799634375.190178
26,2826078462519.937,874534289465.8195,-31799603910.566814
27,2825926170344.717,875131311017.7804,-31799572227.855366
28,2825773769824.2163,875728298949.0148,-31799539327.094597
29,2825621260967.594,876325253237.6404,-31799505208.323334
30,2825468643784.0137,876922173861.7781,-31799469871.580467
31,2825315918282.644,877519060799.5516,-31799433316.90494
32,2825163084472.6587,878115914029.0881,-31799395544.335766
33,2825010142363.237,878712733528.5177,-31799356553.912006
34,2824857091963.5625,879309519275.9736,-31799316345.672794
35,2824703933282.8247,879906271249.5923,-31799274919.657322
36,2824550666330.2183,880502989427.5132,-31799232275.904835
37,2824397291114.942,881099673787.8789,-31799188414.454647
38,2824243807646.2,881696324308.8352,-31799143335.34613
39,2824090215933.202,882292940968.531,-31799097038.618717
40,2823936515985.163,882889523745.1184,-31799049524.311897
41,2823782707811.3022,883486072616.7524,-31799000792.465225
42,2823628791420.844,884082587561.5914,-31798950843.118313
43,2823474766823.019,884679068557.7968,-31798899676.310837
44,2823320634027.0615,885275515583.533,-31798847292.082527
45,2823166393042.212,885871928616.9679,-31798793690.473183
46,2823012043877.715,886468307636.2722,-31798738871.522655
47,2822857586542.8203,887064652619.62,-31798682835.270863
48,2822703021046.7837,887660963545.1884,-31798625581.75778
49,2822548347398.865,888257240391.1576,-31798567111.02344
50,2822393565608.3306,888853483135.711,-31798507423.107944
51,2822238675684.4497,889449691757.0353,-31798446518.05145
52,2822083677636.498,890045866233.3201,-31798384395.89417
53,2821928571473.7563,890642006542.7583,-31798321056.67638
54,2821773357205.51,891238112663.546,-31798256500.43842
55,2821618034841.0493,891834184573.8824,-31798190727.220688
56,2821462604389.671,892430222251.9698,-31798123737.06364
57,2821307065860.675,893026225676.0138,-31798055530.007797
58,2821151419263.3667,893622194824.223,-31797986106.09374
59,2820995664607.058,894218129674.8092,-31797915465.3621
60,2820839801901.0645,894814030205.9875,-31797843607.85358
61,2820683831154.707,895409896395.9761,-31797770533.60894
62,2820527752377.3115,896005728222.9962,-31797696242.668995
63,2820371565578.209,896601525665.2726,-31797620735.074623
64,2820215270766.736,897197288701.0327,-31797544010.866768
65,2820058867952.2334,897793017308.5076,-31797466070.086426
66,2819902357144.048,898388711465.9313,-31797386912.774654
67,2819745738351.5303,898984371151.5409,-31797306538.972576
68,2819589011584.037,899579996343.577,-31797224948.721367
69,2819432176850.9297,900175587020.2832,-31797142142.062267
