days,Position X (m),Position Y (m),Position Z (m)
0,-94900000000.0,-54700000000.0,4940000000.0
1,-93704224000.0,-57091552000.0,4790528000.0
2,-92438322285.94238,-59440379818.102875,4637470927.40136
3,-91103556122.23352,-61744927550.23972,4480959072.583903
4,-89701195436.57874,-64003665171.388725,4321122585.613452
5,-88232519192.66266,-66215087020.993225,4158091544.607763
6,-86698815837.19981,-68377710358.67735,3991996027.194929
7,-85101383818.76306,-70490073988.82129,3822966184.9283524
8,-83441532176.2005,-72550736952.71283,3651132320.545478
9,-81720581194.8291,-74558277287.16269,3476624967.97837
10,-79939863128.94778,-76511290848.6563,3299574975.043071
11,-78100722989.54555,-78408390202.31552,3120113588.751659
12,-76204519396.39331,-80248203575.15785,2938372543.2061806
13,-74252625494.0018,-82029373873.37022,2754484150.047139
14,-72246429931.20444,-83750557763.5585,2568581391.4411983
15,-70187337904.3836,-85410424818.19345,2380798015.6031003
16,-68076772264.60268,-87007656725.75046,2191268634.8556576
17,-65916174689.13476,-88540946566.33359,2000128826.2389612
18,-63707006918.09271,-90008998153.88718,1807515234.6857271
19,-61450752057.06411,-91410525446.43083,1613565678.7838826
20,-59148915946.83892,-92744252026.10768,1418419259.1500585
21,-56803028601.48654,-94008910651.21397,1222216469.4385006
22,-54414645716.191826,-95203242882.7814,1025099310.008951
23,-51985350246.39563,-96325998788.71475,827211404.2741354
24,-49516754059.9029,-97375936728.94897,628698117.7424731
25,-47010499663.71877,-98351823225.58366,429706679.76429033
26,-44468262007.447815,-99252432922.4822,230386307.97994906
27,-41891750365.1412,-100076548639.39082,30888335.455622524
28,-39282710297.4976,-100822961526.24168,-168633659.5233612
29,-36642925696.31188,-101490471323.95718,-368023721.0509786
30,-33974220913.01694,-102077886738.77481,-567123380.6633373
31,-31278462973.07245,-102584025937.8635,-765771519.9659996
32,-28557563877.81362,-103007717174.81004,-963804230.9583961
33,-25813482995.176025,-103347799554.41905,-1161054674.225895
34,-23048229540.450417,-103603123947.19615,-1357352935.2142353
35,-20263865147.884773,-103772554064.87546,-1552525878.8521183
36,-17462506533.528156,-103854967709.41043,-1746397002.8466084
37,-14646328249.189663,-103849258208.97527,-1938786290.0435796
38,-11817565526.75159,-103754336055.72414,-2129510060.3227797
39,-8978517211.312151,-103569130761.32825,-2318380822.585336
40,-6131548780.721479,-103292592947.65598,-2505207127.4919586
41,-3279095447.994431,-102923696691.37872,-2689793421.7240677
42,-423665341.8113284,-102461442142.77034,-2871939904.6691356
43,2432157241.1723733,-101904858440.51672,-3051442388.577262
44,5285708520.223658,-101253006945.95584,-3228092163.400181
45,8134241860.6687355,-100504984821.81615,-3401675867.7083836
46,10974924362.630745,-99659928982.19713,-3571975367.2887697
47,13804833423.411818,-98717020442.21953,-3738767643.256287
48,16620953291.638416,-97675489097.4381,-3901824691.770435
49,19420171634.802353,-96534618964.72243,-4060913437.7334094
50,22199276145.828888,-95293753917.82991,-4215795665.163083
51,24954951218.83722,-93952303952.26643,-4366227967.282845
52,27683774729.378624,-92509752015.19116,-4511961719.753253
53,30382214960.194897,-90965661436.99345,-4652743080.888804
54,33046627719.98484,-89319684001.65968,-4788313023.157644
55,35673253709.84665,-87571568693.04318,-4918407400.752853
56,38258216200.02025,-85721171153.51996,-5042757058.550087
57,40797519088.31842,-83768463890.10161,-5161087988.325663
58,43287045421.22678,-81713547260.70538,-5273121538.697842
59,45722556469.07063,-79556661269.74309,-5378574685.86617
60,48099691457.86462,-77298198197.25003,-5477160372.850898
61,50413968072.41986,-74938716079.1693,-5568587925.565098
62,52660783857.88008,-72478953047.84108,-5652563554.670892
63,54835418659.93687,-69919842530.90244,-5728790952.7583885
64,56933038257.31176,-67262529293.33626,-5796971996.916597
65,58948699353.3865,-64508386290.96144,-5856807567.2088375
66,60877356106.71388,-61659032283.8646,-5907998491.8835
67,62713868392.04131,-58716350134.7837,-5950246630.299547
68,64453011993.79164,-55682505689.9416,-5983256104.472291
69,66089490941.89546,-52559967108.02712,-6006734689.7881565
70,67617952204.52868,-49351524466.75778,-6020395374.728991
71,69033002952.59451,-46060309435.69164,-6023958098.311779
72,70329230605.46213,-42689814758.829254,-6017151672.307701
73,71501225855.15402,-39243913241.44549,-5999715893.071898
74,72543608845.3695,-35726875883.20673,-5971403844.90966
75,73451058650.88525,-32143388745.025642,-5931984393.249639
76,74218346160.43575,-28498568081.78761,-5881244861.42684
77,74840370410.70255,-24797973219.05317,-5818993879.555414
78,75312198349.32053,-21047616601.643856,-5745064387.782959
79,75629107920.02187,-17253970398.759438,-5659316769.196016
80,75786634262.9416,-13423969017.592827,-5561642079.877099
81,75780618708.23822,-9565006859.407827,-5451965335.249809
82,75607260113.06816,-5684930653.14765,-5330248803.120161
83,75263167953.31276,-1792025726.3751717,-5196495245.043106
